#,Site,User,Time,Problem,Language,Filename,Status,Judge (Site),Answer,AnswerBin,Penalty
105,1,[FATEC-Mogi] Já Chegou o Disco Voador,28,H,Java,H.java,judged,juiz3 (1),YES,1,43
106,1,[UFPE] 4 Fun 2 Win,28,I,C++,I.cpp,judged,juiz2 (1),YES,1,60
107,1,[UNIR] TBK,29,D,C++,D.cpp,judged,juiz6 (1),YES,1,29
108,1,[UFSM] char *alho;,29,D,C++,D.cpp,judged,juiz3 (1),NO - Wrong answer,0,0
109,1,[UNIFEI] while (c==8),29,H,C++,H.cpp,judged,juiz3 (1),YES,1,63
110,1,[URI] PontoCPP,29,D,C++,d.cpp,judged,juiz2 (1),YES,1,48
111,1,[UFS] Y U no accept?,29,H,C++,h.cpp,judged,juiz6 (1),NO - Wrong answer,0,15
112,1,[ITA] MargarITA,30,I,C++,i.cpp,judged,juiz2 (1),YES,1,56
113,1,[UNOESTE] Unoeste WJR,30,D,C++,dd.cpp,judged,juiz2 (1),YES,1,49
114,1,[UFSCar] PonteirosReversos,31,H,C++,h.cpp,judged,juiz2 (1),YES,1,42
115,1,[UNISUL] Go Horse,31,D,Java,D.java,judged,juiz6 (1),YES,1,31
116,1,[UFG] Monkeys,31,I,C++,I.cpp,judged,juiz2 (1),YES,1,59
117,1,[UNISUL] Go Horse,32,H,Java,H.java,judged,juiz3 (1),YES,1,63
118,1,[UNICAMP] PhD na área;,33,H,C++,h.cpp,judged,juiz2 (1),YES,1,60
119,1,[ICMC-USP] I Can Haz Balloonz,33,H,C++,h.cpp,judged,juiz2 (1),YES,1,65
120,1,[UNILINS] Programação Orientada a Balões,34,H,C++,exh.cpp,judged,juiz3 (1),YES,1,34
121,1,[UNILINS] Programação Orientada a Balões,34,D,C++,exd.cpp,judged,juiz2 (1),YES,1,88
122,1,[UNIVASF] PiratasDoValeDoSãoFrancisco,35,H,C++,h.cpp,judged,juiz2 (1),YES,1,62
123,1,[UFPR] Berro Trypanossomático,36,I,C++,I.cpp,judged,juiz2 (1),NO - Wrong answer,0,36
124,1,[UFPR] Berro Trypanossomático,38,I,C++,I.cpp,judged,juiz2 (1),NO - Wrong answer,0,36
125,1,[UNIARARAS] Grupo Gama,38,H,C,H.c,judged,juiz2 (1),YES,1,59
126,1,[UFMS] Largest Living Rodent,40,D,C,D.c,judged,juiz2 (1),YES,1,61
127,1,[ICMC-USP] Señora Margarida,40,I,C++,I.cpp,judged,juiz6 (1),NO - Wrong answer,0,4
128,1,[UNIR] TBK,40,H,C++,H.cpp,judged,juiz6 (1),YES,1,69
129,1,[UFPR] Berro Trypanossomático,41,I,C++,I.cpp,judged,juiz2 (1),YES,1,117
130,1,[UNIMONTES] Thundercats,41,D,C++,teste.cpp,judged,juiz6 (1),NO - Wrong answer,0,0
131,1,[ICMC-USP] Señora Margarida,41,H,C++,h.cpp,judged,juiz2 (1),YES,1,45
132,1,[IFSC-USP] IFSC - Schrödingers Katze,42,I,C++,I.cpp,judged,juiz3 (1),NO - Time limit exceeded,0,17
133,1,[UFPI] Dont Care,43,D,C++,D.cpp,judged,juiz3 (1),YES,1,43
134,1,"[UFAM] ICompUFAM-""Computa agora""",43,D,C++,differents.cpp,judged,juiz3 (1),NO - Wrong answer,0,0
135,1,[FATEC-AM] a; DROP TABLEuser; --,44,I,C++,I.cpp,judged,juiz2 (1),NO - Time limit exceeded,0,47
136,1,[UNIOESTE-Cascavel] Não Entre em Pânico,44,I,C++,I.cpp,judged,juiz6 (1),NO - Time limit exceeded,0,21
137,1,"[ITA] jQuery bool, jQuery char!",45,C,C++,cellphone.cpp,judged,juiz3 (1),YES,1,97
138,1,[UFS] Y U no accept?,47,I,C++,i.cpp,judged,juiz2 (1),YES,1,62
139,1,[URI] PontoCPP,47,I,C++,i.cpp,judged,juiz2 (1),NO - Time limit exceeded,0,48
140,1,[UNICAMP] PhD na área;,47,I,C++,i.cpp,judged,juiz3 (1),YES,1,107
141,1,[ICMC-USP] Señora Margarida,48,I,C++,I.cpp,judged,juiz2 (1),YES,1,113
142,1,[UFRN] Absurdo Clássico - Agora Vai!,49,I,C++,I.cpp,judged,juiz6 (1),YES,1,71
143,1,[UFS] Y U no accept?,49,H,C++,h.cpp,judged,juiz2 (1),NO - Wrong answer,0,62
144,1,[UNIOESTE-Cascavel] Não Entre em Pânico,50,I,C++,I.cpp,judged,juiz6 (1),NO - Time limit exceeded,0,21
145,1,[UNISUL] Go Horse,51,I,Java,I.java,judged,juiz2 (1),NO - Runtime error,0,63
146,1,[IME-USP] ASA,51,I,C++,i.cpp,judged,juiz2 (1),YES,1,80
147,1,[UFMG] UFMG In rand() we trust!,52,I,C++,I.cpp,judged,juiz3 (1),YES,1,85
148,1,[UFSM] char *alho;,52,D,C++,D.cpp,judged,juiz3 (1),YES,1,92
149,1,[FATEC-AM] a; DROP TABLEuser; --,53,I,C++,I.cpp,judged,juiz4 (1),NO - Time limit exceeded,0,47
150,1,[ITA] MargarITA,53,C,C++,c.cpp,judged,juiz2 (1),YES,1,109
151,1,[FACOMUFU] Chinelada na Orelha,53,I,C++,i.cpp,judged,juiz3 (1),YES,1,90
152,1,[DCC-UFRJ] using namespace none;,54,I,C++,I.cpp,judged,juiz2 (1),YES,1,83
153,1,[UFPE] 4 Fun 2 Win,54,C,C++,C.cpp,judged,juiz2 (1),YES,1,114
154,1,[UFES] ETROPUS,54,I,C++,i.cpp,judged,juiz3 (1),NO - Time limit exceeded,0,37
155,1,[UFSM] char *alho;,55,H,C++,H.cpp,judged,juiz6 (1),NO - Runtime error,0,92
156,1,[UNOESTE] Unoeste WJR,56,I,C++,ip.cpp,judged,juiz6 (1),NO - Time limit exceeded,0,49
157,1,[UFS] Y U no accept?,56,H,C++,h.cpp,judged,juiz3 (1),NO - Wrong answer,0,62
158,1,[UERJ] MOJUCA,56,I,C++,I.cpp,judged,juiz6 (1),YES,1,79
159,1,[UNIARARAS] Grupo Gama,57,I,C,I.c,judged,juiz6 (1),NO - Wrong answer,0,59
160,1,[FATEC-Mogi] Já Chegou o Disco Voador,58,I,Java,I.java,judged,juiz3 (1),NO - Time limit exceeded,0,43
161,1,[UEFS] Untitled.c,58,I,C,I.c,judged,juiz4 (1),NO - Time limit exceeded,0,20
162,1,[UNILINS] Programação Orientada a Balões,59,I,C++,exi.cpp,judged,juiz2 (1),NO - Time limit exceeded,0,88
163,1,[URI] PontoCPP,59,I,C++,i.cpp,judged,juiz2 (1),NO - Time limit exceeded,0,48
164,1,[UNISUL] Go Horse,60,I,Java,I.java,judged,juiz2 (1),NO - Runtime error,0,63
165,1,[UFSM] char *alho;,60,H,C++,H.cpp,judged,juiz5 (1),YES,1,172
166,1,[UFPE] Coração das Cartas,60,I,C++,I.cpp,judged,juiz4 (1),YES,1,92
167,1,[ICMC-USP] Señora Margarida,60,C,C++,C.cpp,judged,juiz3 (1),YES,1,173
168,1,"[ITA] jQuery bool, jQuery char!",62,A,C++,arranging.cpp,judged,juiz2 (1),NO - Wrong answer,0,97
169,1,[UEFS] Untitled.c,63,D,C,D.c,judged,juiz3 (1),NO - Wrong answer,0,20
170,1,[UNIARARAS] Grupo Gama,63,I,C,I.c,judged,juiz5 (1),NO - Wrong answer,0,59
171,1,[UTFPR] sudo make a sandwich,64,C,C++,C.cpp,judged,juiz2 (1),YES,1,89
172,1,[UFPI] Dont Care,64,I,C++,I.cpp,judged,juiz5 (1),NO - Runtime error,0,43
173,1,[UFCG] #include <RijeéL>,66,I,C++,I.cpp,judged,juiz2 (1),YES,1,97
174,1,[FATEC-Mogi] Já Chegou o Disco Voador,66,I,Java,I.java,judged,juiz3 (1),NO - Time limit exceeded,0,43
175,1,[UNIARARAS] Grupo Gama,67,I,C,I.c,judged,juiz6 (1),NO - Time limit exceeded,0,59
176,1,[UFG] Monkeys,67,C,C++,C.cpp,judged,juiz6 (1),YES,1,126
177,1,[UNIOESTE-Cascavel] Não Entre em Pânico,67,I,C++,I.cpp,judged,juiz6 (1),NO - Wrong answer,0,21
178,1,[UNOESTE] Unoeste WJR,68,I,C++,ip.cpp,judged,juiz4 (1),NO - Time limit exceeded,0,49
179,1,[POLI-USP] Vruum,68,I,C++,i.cpp,judged,juiz6 (1),YES,1,110
180,1,[UNICAMP] Os Cartolas,68,C,C++,c.cpp,judged,juiz4 (1),YES,1,115
181,1,"[UFAM] ICompUFAM-""Computa agora""",68,D,C++,differents.cpp,judged,juiz3 (1),YES,1,88
182,1,[UEFS] Untitled.c,70,D,C,D.c,judged,juiz2 (1),NO - Wrong answer,0,20
183,1,[UFPI] Dont Care,71,I,C++,I.cpp,judged,juiz2 (1),NO - Wrong answer,0,43
184,1,"[ITA] jQuery bool, jQuery char!",71,A,C++,arranging.cpp,judged,juiz3 (1),NO - Wrong answer,0,97
185,1,[FATEC-Mogi] Já Chegou o Disco Voador,72,I,Java,I.java,judged,juiz2 (1),NO - Wrong answer,0,43
186,1,[UNISUL] Go Horse,72,I,Java,I.java,judged,juiz6 (1),NO - Runtime error,0,63
187,1,[UNIARARAS] Grupo Gama,72,I,C,I.c,judged,juiz3 (1),NO - Wrong answer,0,59
188,1,[UFMG] UFMG Starters Edition,73,I,C++,i.cpp,judged,juiz3 (1),YES,1,111
189,1,[UFRGS] Knights of The Round Robin,74,C,C++,C.cpp,judged,juiz3 (1),YES,1,104
